interacting_pair	variable	pvalue	mean	part1	part2	tissue	Type1	Type2	Type	cell1	cell2
111	ACE2_GHRL	DC.CD8_TEM	1	0	DC	CD8_TEM	Bladder_cDNA	DC	CD8_TEM	Myeloid_CD8	Myeloid	CD8
112	ACE2_GHRL	DC.CD8_TRM	1	0	DC	CD8_TRM	Bladder_cDNA	DC	CD8_TRM	Myeloid_CD8	Myeloid	CD8
113	ACE2_GHRL	DC.DC	1	0	DC	DC	Bladder_cDNA	DC	DC	Myeloid_Myeloid	Myeloid	Myeloid
114	ACE2_GHRL	DC.Epi_FABP4	1	0	DC	Epi_FABP4	Bladder_cDNA	DC	Epi	Myeloid_Epi	Myeloid	Epi
115	ACE2_GHRL	DC.Fib	1	0	DC	Fib	Bladder_cDNA	DC	Fib	Myeloid_Fib	Myeloid	Fib
116	ACE2_GHRL	DC.FibSmo	1	0	DC	FibSmo	Bladder_cDNA	DC	FibSmo	Myeloid_FibSmo	Myeloid	FibSmo
117	ACE2_GHRL	DC.Mac	1	0	DC	Mac	Bladder_cDNA	DC	Mac	Myeloid_Myeloid	Myeloid	Myeloid
118	ACE2_GHRL	DC.Mon	1	0	DC	Mon	Bladder_cDNA	DC	Mon	Myeloid_Myeloid	Myeloid	Myeloid
119	ACE2_GHRL	DC.NK	1	0	DC	NK	Bladder_cDNA	DC	NK	Myeloid_NK	Myeloid	NK
120	ACE2_GHRL	DC.Smo	1	0	DC	Smo	Bladder_cDNA	DC	Smo	Myeloid_Smo	Myeloid	Smo
121	ACE2_GHRL	Epi_FABP4.BEC	1	0	Epi_FABP4	BEC	Bladder_cDNA	Epi	BEC	Epi_Endo	Epi	Endo
122	ACE2_GHRL	Epi_FABP4.CD4_TCM	1	0	Epi_FABP4	CD4_TCM	Bladder_cDNA	Epi	CD4_TCM	Epi_CD4	Epi	CD4
123	ACE2_GHRL	Epi_FABP4.CD4_Th1	1	0	Epi_FABP4	CD4_Th1	Bladder_cDNA	Epi	CD4_Th1	Epi_CD4	Epi	CD4
124	ACE2_GHRL	Epi_FABP4.CD4_TRM	1	0	Epi_FABP4	CD4_TRM	Bladder_cDNA	Epi	CD4_TRM	Epi_CD4	Epi	CD4
